1	5	1	1	1	1200
1	5	1	2	1	1200
1	5	1	3	1	1200
1	5	1	4	3	2500
1	5	1	5	3	2500
1	5	1	6	3	2500
1	5	1	7	5	4000
1	5	1	8	5	4000
1	5	1	9	2	2000
1	5	2	10	2	2000
1	5	2	11	2	2000
1	5	2	12	1	1200
1	5	2	13	1	1200
1	5	2	14	5	4000
1	5	2	15	4	3600
1	5	2	16	4	3600
1	5	2	17	3	2500
1	5	2	18	2	2000
1	5	2	19	2	2000
1	5	2	20	2	2000
1	5	2	21	3	2500
1	5	2	22	2	2000
1	5	2	23	3	2500
1	5	3	24	4	3600
1	5	3	25	2	2000
1	5	3	26	3	2500
1	5	3	27	3	2500
1	5	3	28	3	2500
1	5	3	29	1	1200
1	5	3	30	1	1200
1	5	3	31	4	3600
1	5	3	32	2	2000
1	5	3	33	1	1200
1	5	3	34	5	4000
1	5	3	35	3	2500
1	5	3	36	4	3600
1	5	4	37	3	2500
1	5	4	38	2	2000
1	5	4	39	1	1200
1	5	4	40	1	1200
1	5	4	41	1	1200
1	5	4	42	3	2500
1	5	4	43	2	2000
1	5	4	44	5	4000
1	5	4	45	3	2500
1	5	4	46	1	1200
1	5	4	47	4	3600
1	5	4	48	1	1200
1	5	4	49	3	2500
2	3	1	1	1	320
2	3	1	2	1	320
2	3	1	3	1	320
2	3	1	4	3	850
2	3	1	5	3	850
2	3	1	6	3	850
2	3	1	7	5	1300
2	3	1	8	5	1300
2	3	1	9	2	585
2	3	2	10	2	585
2	3	2	11	2	585
2	3	2	12	1	320
2	3	2	13	1	320
2	3	2	14	5	1300
2	3	2	15	4	1170
2	3	2	16	4	1170
2	3	2	17	3	850
2	3	2	18	2	585
2	3	2	19	2	585
2	3	2	20	2	585
2	3	2	21	3	850
2	3	2	22	2	585
2	3	2	23	3	850
2	3	3	24	4	1170
2	3	3	25	2	585
2	3	3	26	3	850
2	3	3	27	3	850
2	3	3	28	3	850
2	3	3	29	1	320
2	3	3	30	1	320
2	3	3	31	4	1170
2	3	3	32	2	585
2	3	3	33	1	320
2	3	3	34	5	1300
2	3	3	35	3	850
2	3	3	36	4	1170
2	3	4	37	3	850
2	3	4	38	2	585
2	3	4	39	1	320
2	3	4	40	1	320
2	3	4	41	1	320
2	3	4	42	3	850
2	3	4	43	2	585
2	3	4	44	5	1300
2	3	4	45	3	850
2	3	4	46	1	320
2	3	4	47	4	1170
2	3	4	48	1	320
2	3	4	49	3	850
